gtdb_genome_representative	aquatic_habitat	host_associated	soil_habitat
GB_GCA_017307285.1	0	0	1
RS_GCF_009765865.1	0	0	1
GB_GCA_002279355.1	1	0	0
RS_GCF_000701585.1	1	0	1
RS_GCF_000016725.1	1	0	1
GB_GCA_002255515.1	1	0	0
GB_GCA_002255495.1	1	0	0
GB_GCA_002255575.1	1	0	0
RS_GCF_014201825.1			
RS_GCF_000687875.1	1	0	0
RS_GCF_000964385.1			
GB_GCA_003164135.1	0	0	1
GB_GCA_013044125.1			
GB_GCA_903970435.1			
GB_GCA_013166815.1	0	1	0
GB_GCA_903922595.1	1	0	0
RS_GCF_014192375.1			
RS_GCF_005844085.1	0	1	0
GB_GCA_004843345.1	0	1	0
GB_GCA_004843165.1	0	1	0
RS_GCF_003202795.1	0	1	0
RS_GCF_014672835.1			
RS_GCF_000963885.1			
RS_GCF_007988885.1			
RS_GCF_016865195.1	0	1	0
RS_GCF_000344115.1	0	1	0
RS_GCF_002723955.1	0	1	0
RS_GCF_006542355.1	0	1	0
RS_GCF_007988905.1	0	1	0
RS_GCF_006539125.1			
RS_GCF_009547075.1			
RS_GCF_006538885.1	0	1	0
RS_GCF_000011685.1	0	1	0
RS_GCF_001580925.1	1	1	0
RS_GCF_015244675.1			
RS_GCF_018256245.1	0	1	0
RS_GCF_015244785.1			
RS_GCF_018256155.1			
RS_GCF_006542335.1			
RS_GCF_001598495.1			
RS_GCF_009906835.1	0	1	0
RS_GCF_002592045.1	0	1	0
RS_GCF_009725755.1			
RS_GCF_014048475.1			
RS_GCF_000723565.1	0	1	0
RS_GCF_014048465.1			
RS_GCF_009834805.1			
RS_GCF_000378165.1			
RS_GCF_009834765.1			
RS_GCF_006542375.1	0	1	0
RS_GCF_002005465.1	0	1	0
RS_GCF_007988925.1			
RS_GCF_000697575.1			
RS_GCF_007988945.1	0	1	0
RS_GCF_001547995.1	0	1	0
RS_GCF_000613845.1			
RS_GCF_014635085.1			
RS_GCF_000613885.1			
RS_GCF_000614545.1			
RS_GCF_018335475.1			
RS_GCF_014174255.1			
RS_GCF_003350405.1	0	1	0
RS_GCF_014174375.1			
RS_GCF_014174275.1			
RS_GCF_000067045.1	0	1	0
RS_GCF_014174155.1			
RS_GCF_014174355.1			
RS_GCF_003206055.1	0	0	1
RS_GCF_000164395.1			
RS_GCF_002906255.1			
RS_GCF_003206495.1			
RS_GCF_002878245.1	0	0	0
RS_GCF_003403295.1	0	0	0
RS_GCF_003207865.1	0	1	0
RS_GCF_001571345.1			
RS_GCF_013155395.1			
RS_GCF_015155755.1			
RS_GCF_000227565.1	0	0	0
RS_GCF_000285295.1	0	0	1
RS_GCF_000550765.1			
RS_GCF_006538165.1			
RS_GCF_000182745.2			
RS_GCF_000700985.1	1	1	0
GB_GCA_012517935.1			
RS_GCF_017377715.1			
RS_GCF_000429165.1			
RS_GCF_011516735.1	0	0	0
RS_GCF_011516835.1			
RS_GCF_011516825.1	0	0	0
RS_GCF_011516945.1			
RS_GCF_011516755.1	0	0	0
RS_GCF_002005445.1			
RS_GCF_011516765.1	0	0	0
RS_GCF_002153545.1	0	1	0
RS_GCF_000225485.1	0	1	0
RS_GCF_002153775.1	0	1	0
RS_GCF_007989335.1	0	1	1
RS_GCF_002153485.1	0	1	0
